action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1718385,[],CHEMBL867544,Inhibition of Plasmodium falciparum recombinant FP2A fused with maltose binding protein,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(F)cc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,,,CHEMBL1147785,J Med Chem,2006,"{'bei': '8.54', 'le': '0.16', 'lle': '2.41', 'sei': '3.26'}",CHEMBL378475,,CHEMBL378475,4.79,0,http://www.openphacts.org/units/Nanomolar,478213,=,1,1,=,,IC50,nM,,16340,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,16.34
,,1718386,[],CHEMBL867544,Inhibition of Plasmodium falciparum recombinant FP2A fused with maltose binding protein,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,,,CHEMBL1147785,J Med Chem,2006,"{'bei': '8.36', 'le': '0.16', 'lle': '1.93', 'sei': '3.29'}",CHEMBL207102,,CHEMBL207102,4.82,0,http://www.openphacts.org/units/Nanomolar,478212,=,1,1,=,,IC50,nM,,15040,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,15.04
,,1718387,[],CHEMBL867544,Inhibition of Plasmodium falciparum recombinant FP2A fused with maltose binding protein,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NC(=O)OC[C@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)N[C@H]3CC(=O)OC3O)C2=O)cc1,,,CHEMBL1147785,J Med Chem,2006,"{'bei': '8.83', 'le': '0.16', 'lle': '2.81', 'sei': '3.24'}",CHEMBL207117,,CHEMBL207117,5.06,0,http://www.openphacts.org/units/Nanomolar,478211,=,1,1,=,,IC50,nM,,8790,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,8.79
,,1718388,[],CHEMBL867544,Inhibition of Plasmodium falciparum recombinant FP2A fused with maltose binding protein,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CN1C(=O)[C@@H](COC(=O)Nc2cccc3ccccc23)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,,,CHEMBL1147785,J Med Chem,2006,"{'bei': '8.35', 'le': '0.15', 'lle': '1.56', 'sei': '3.38'}",CHEMBL377886,,CHEMBL377886,4.95,0,http://www.openphacts.org/units/Nanomolar,478210,=,1,1,=,,IC50,nM,,11190,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,11.19
,,1757132,[],CHEMBL870301,Inhibition of recombinant falcipain2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1/CCCN(Cc2ccccc2)S1(=O)=O)Cc1ccccc1,,,CHEMBL1146017,Bioorg Med Chem Lett,2006,"{'bei': '7.94', 'le': '0.15', 'lle': '0.95', 'sei': '4.28'}",CHEMBL379633,,CHEMBL379633,4.63,0,http://www.openphacts.org/units/Nanomolar,539657,=,1,1,=,,IC50,nM,,23600,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,23.6
,,1757136,[],CHEMBL870301,Inhibition of recombinant falcipain2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1\CCCN(Cc2ccccc2)S1(=O)=O)Cc1ccccc1,,,CHEMBL1146017,Bioorg Med Chem Lett,2006,"{'bei': '8.35', 'le': '0.16', 'lle': '1.18', 'sei': '4.50'}",CHEMBL211516,,CHEMBL211516,4.86,0,http://www.openphacts.org/units/Nanomolar,539656,=,1,1,=,,IC50,nM,,13700,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,13.7
,,1757140,[],CHEMBL870301,Inhibition of recombinant falcipain2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1\CCCN(c2ccccc2)S1(=O)=O)Cc1ccccc1,,,CHEMBL1146017,Bioorg Med Chem Lett,2006,"{'bei': '7.92', 'le': '0.15', 'lle': '0.82', 'sei': '4.17'}",CHEMBL379148,,CHEMBL379148,4.5,0,http://www.openphacts.org/units/Nanomolar,539655,=,1,1,=,,IC50,nM,,31400,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,31.4
,,1757142,[],CHEMBL870301,Inhibition of recombinant falcipain2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1\CCN(Cc2ccccc2)S1(=O)=O)Cc1ccccc1,,,CHEMBL1146017,Bioorg Med Chem Lett,2006,"{'bei': '7.59', 'le': '0.15', 'lle': '1.03', 'sei': '3.99'}",CHEMBL213961,,CHEMBL213961,4.32,0,http://www.openphacts.org/units/Nanomolar,539654,=,1,1,=,,IC50,nM,,48400,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,48.4
,,1757144,[],CHEMBL870301,Inhibition of recombinant falcipain2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C1\CCCN(c2ccccc2)S1(=O)=O)Cc1ccccc1,,,CHEMBL1146017,Bioorg Med Chem Lett,2006,"{'bei': '8.61', 'le': '0.16', 'lle': '0.60', 'sei': '4.79'}",CHEMBL213827,,CHEMBL213827,4.58,0,http://www.openphacts.org/units/Nanomolar,539653,=,1,1,=,,IC50,nM,,26500,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,26.5
,,1841116,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1ccccc1N/N=C/c1ccc(/C=N/Nc2ccccc2C(=O)O)cc1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '14.91', 'le': '0.27', 'lle': '2.02', 'sei': '4.86'}",CHEMBL224801,,CHEMBL224801,6,0,http://www.openphacts.org/units/Nanomolar,630359,=,1,1,=,,IC50,nM,,1000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,1
,,1841122,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cccc(O)c1)c1cccc(S(=O)(=O)Nc2cccc(O)c2)c1,,,CHEMBL1149285,J Med Chem,2004,,CHEMBL222709,,CHEMBL222709,,0,http://www.openphacts.org/units/Nanomolar,630382,>,1,1,>,,IC50,nM,,50000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,50
,,1841123,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,OC[C@@H](O)/C=N/Nc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1,,,CHEMBL1149285,J Med Chem,2004,,CHEMBL221471,,CHEMBL221471,,0,http://www.openphacts.org/units/Nanomolar,630381,>,1,1,>,,IC50,nM,,50000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,50
,,1841124,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CSc1ccc2ccccc2n1)N/N=C/c1ccc(O)cc1O,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '11.88', 'le': '0.23', 'lle': '1.31', 'sei': '4.43'}",CHEMBL222708,,CHEMBL222708,4.2,0,http://www.openphacts.org/units/Nanomolar,630380,=,1,1,=,,IC50,nM,,63400,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,63.4
,,1841125,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(O)nc(SCC(=O)Nc2ccccc2)n1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '13.92', 'le': '0.27', 'lle': '1.35', 'sei': '5.62'}",CHEMBL222707,,CHEMBL222707,4.22,0,http://www.openphacts.org/units/Nanomolar,630379,=,1,1,=,,IC50,nM,,59900,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,59.9
,,1841126,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,OC[C@H](O)/C=N/Nc1nc(Nc2ccccc2)nc(N2CCCCC2)n1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '11.93', 'le': '0.22', 'lle': '2.90', 'sei': '3.59'}",CHEMBL222706,,CHEMBL222706,4.26,0,http://www.openphacts.org/units/Nanomolar,630378,=,1,1,=,,IC50,nM,,54600,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,54.6
,,1841127,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,CCOP(=O)(CC(=O)NNC(=O)Nc1cccc2ccccc12)OCC,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '11.26', 'le': '0.22', 'lle': '1.01', 'sei': '4.04'}",CHEMBL376232,,CHEMBL376232,4.27,0,http://www.openphacts.org/units/Nanomolar,630377,=,1,1,=,,IC50,nM,,53400,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,53.4
,,1841128,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1nnc(NC(=O)c2ccccc2)s1)N/N=C\c1ccc(O)c(O)c1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '11.34', 'le': '0.22', 'lle': '2.62', 'sei': '3.29'}",CHEMBL224916,,CHEMBL224916,4.51,0,http://www.openphacts.org/units/Nanomolar,630376,=,1,1,=,,IC50,nM,,31100,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,31.1
,,1841129,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cn1nnc(-c2ccccc2)n1)N/N=C1\C(=O)Nc2ccccc21,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '13.14', 'le': '0.24', 'lle': '3.75', 'sei': '4.00'}",CHEMBL224915,,CHEMBL224915,4.56,0,http://www.openphacts.org/units/Nanomolar,630375,=,1,1,=,,IC50,nM,,27300,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,27.3
,,1841130,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC(=O)[C@@H]1COc2ccccc2O1)N/N=C/c1cccs1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '13.25', 'le': '0.26', 'lle': '3.43', 'sei': '5.14'}",CHEMBL222270,,CHEMBL222270,4.58,0,http://www.openphacts.org/units/Nanomolar,630374,=,1,1,=,,IC50,nM,,26600,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,26.6
,,1841131,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(Nc2nc(-c3cccnc3)cs2)cc1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '17.26', 'le': '0.33', 'lle': '1.00', 'sei': '8.01'}",CHEMBL373909,,CHEMBL373909,4.65,0,http://www.openphacts.org/units/Nanomolar,630373,=,1,1,=,,IC50,nM,,22500,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,22.5
,,1841132,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(/C=N/CC/N=C/c2ccc(O)cc2O)c(O)c1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '15.59', 'le': '0.29', 'lle': '2.63', 'sei': '4.43'}",CHEMBL374367,,CHEMBL374367,4.68,0,http://www.openphacts.org/units/Nanomolar,630372,=,1,1,=,,IC50,nM,,20800,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20.8
,,1841133,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,N#CCC(=O)N/N=C\c1ccc(OCC(=O)Nc2ccc(F)cc2)cc1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '14.80', 'le': '0.28', 'lle': '3.03', 'sei': '5.06'}",CHEMBL374510,,CHEMBL374510,5.24,0,http://www.openphacts.org/units/Nanomolar,630371,=,1,1,=,,IC50,nM,,5700,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,5.7
,,1841134,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CN1C(=O)/C(=N\NC(=O)c2ccncc2)c2ccccc21)Nc1ccccc1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '10.99', 'le': '0.20', 'lle': '2.19', 'sei': '4.23'}",CHEMBL426564,,CHEMBL426564,4.39,0,http://www.openphacts.org/units/Nanomolar,630370,=,1,1,=,,IC50,nM,,40900,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,40.9
,,1841135,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,CCCS(=O)(=O)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '12.83', 'le': '0.27', 'lle': '3.02', 'sei': '6.56'}",CHEMBL224858,,CHEMBL224858,4.91,0,http://www.openphacts.org/units/Nanomolar,630369,=,1,1,=,,IC50,nM,,12400,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,12.4
,,1841136,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CSc1nnnn1-c1ccccc1)Nc1ccc(-n2cnnn2)cc1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '13.51', 'le': '0.26', 'lle': '3.75', 'sei': '4.41'}",CHEMBL224803,,CHEMBL224803,5.12,0,http://www.openphacts.org/units/Nanomolar,630368,=,1,1,=,,IC50,nM,,7500,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,7.5
,,1841137,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(NC(=O)CCC(=O)N/N=C/c2cc(Cl)ccc2O)c1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '14.24', 'le': '0.28', 'lle': '1.90', 'sei': '5.64'}",CHEMBL221833,,CHEMBL221833,5.12,0,http://www.openphacts.org/units/Nanomolar,630367,=,1,1,=,,IC50,nM,,7500,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,7.5
,,1841138,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N/N=C/c1ccccc1O)c1cccc(C(=O)N/N=C/c2ccccc2O)n1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '12.78', 'le': '0.23', 'lle': '3.13', 'sei': '3.78'}",CHEMBL438659,,CHEMBL438659,5.16,0,http://www.openphacts.org/units/Nanomolar,630366,=,1,1,=,,IC50,nM,,7000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,7
,,1841139,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCc1ccc(/C=c2/sc3n(c2=O)CCN=3)o1)C(=O)Nc1ccccc1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '13.14', 'le': '0.25', 'lle': '4.99', 'sei': '4.93'}",CHEMBL221991,,CHEMBL221991,5.21,0,http://www.openphacts.org/units/Nanomolar,630365,=,1,1,=,,IC50,nM,,6200,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,6.2
,,1841140,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1ccccc1NC(=O)COC(=O)CSc1nc(C)cc(C)n1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '13.37', 'le': '0.26', 'lle': '3.06', 'sei': '4.85'}",CHEMBL436500,,CHEMBL436500,5.21,0,http://www.openphacts.org/units/Nanomolar,630364,=,1,1,=,,IC50,nM,,6200,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,6.2
,,1841141,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1cccc(/C=N\c2cccc3c(/N=C/c4cccc(O)c4O)cccc23)c1O,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '13.40', 'le': '0.24', 'lle': '0.18', 'sei': '5.05'}",CHEMBL222325,,CHEMBL222325,5.34,0,http://www.openphacts.org/units/Nanomolar,630363,=,1,1,=,,IC50,nM,,4600,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,4.6
,,1841142,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1c(O)c2ccccc2oc1=O,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '14.52', 'le': '0.28', 'lle': '2.90', 'sei': '4.96'}",CHEMBL222322,,CHEMBL222322,5.41,0,http://www.openphacts.org/units/Nanomolar,630362,=,1,1,=,,IC50,nM,,3900,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,3.9
,,1841143,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N/N=C/c1ccc(/C=N/NC(=O)c2ccccc2O)cc1)c1ccccc1O,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '14.06', 'le': '0.26', 'lle': '3.03', 'sei': '4.59'}",CHEMBL222871,,CHEMBL222871,5.66,0,http://www.openphacts.org/units/Nanomolar,630361,=,1,1,=,,IC50,nM,,2200,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,2.2
,,1841144,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(/C=N/c2ccc(/N=C/c3ccc(O)cc3O)c(Cl)c2)c(O)c1,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '14.83', 'le': '0.29', 'lle': '1.02', 'sei': '5.37'}",CHEMBL222870,,CHEMBL222870,5.68,0,http://www.openphacts.org/units/Nanomolar,630360,=,1,1,=,,IC50,nM,,2100,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,2.1
,,1841291,[],CHEMBL919604,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,,,CHEMBL1149285,J Med Chem,2004,"{'bei': '21.89', 'le': '0.43', 'lle': '9.28', 'sei': '4.54'}",CHEMBL374508,E-64,CHEMBL374508,7.82,0,http://www.openphacts.org/units/Nanomolar,630388,=,1,1,=,,IC50,nM,,15,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,0.015
,,1851041,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)Cc1c(O)ccc(C=O)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL224891,,CHEMBL224891,,0,http://www.openphacts.org/units/Nanomolar,633231,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851055,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=Cc1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL224258,,CHEMBL224258,,0,http://www.openphacts.org/units/Nanomolar,633236,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851056,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN(Cc2c(O)ccc(C=O)c2O)CC1,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL387974,,CHEMBL387974,,0,http://www.openphacts.org/units/Nanomolar,633235,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851057,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=Cc1ccc(O)c(CN2CCOCC2)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL225644,,CHEMBL225644,,0,http://www.openphacts.org/units/Nanomolar,633234,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851058,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=Cc1ccc(O)c(CN2CCCCC2)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL225592,,CHEMBL225592,,0,http://www.openphacts.org/units/Nanomolar,633233,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851059,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=Cc1ccc(O)c(CN2CCCC2)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL388317,,CHEMBL388317,,0,http://www.openphacts.org/units/Nanomolar,633232,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851060,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=S)N/N=C/c1ccc(O)c(CN2CCOCC2)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL427253,,CHEMBL427253,,0,http://www.openphacts.org/units/Nanomolar,633240,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851061,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(O)ccc(/C=N/NC(N)=S)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL388101,,CHEMBL388101,,0,http://www.openphacts.org/units/Nanomolar,633244,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851062,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=O)N/N=C/c1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL224260,,CHEMBL224260,,0,http://www.openphacts.org/units/Nanomolar,633243,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851063,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN(Cc2c(O)ccc(/C=N/NC(=O)NCCNc3ccnc4cc(Cl)ccc34)c2O)CC1,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL387860,,CHEMBL387860,,0,http://www.openphacts.org/units/Nanomolar,633249,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851064,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCOCC2)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,,CHEMBL389869,,CHEMBL389869,,0,http://www.openphacts.org/units/Nanomolar,633248,>,1,1,>,,IC50,nM,,20000,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,20
,,1851076,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)Cc1c(O)ccc(/C=N/NC(N)=S)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,"{'bei': '16.72', 'le': '0.34', 'lle': '3.85', 'sei': '5.27'}",CHEMBL225323,,CHEMBL225323,4.96,0,http://www.openphacts.org/units/Nanomolar,633237,=,1,1,=,,IC50,nM,,11070,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,11.07
,,1851077,[],CHEMBL920646,Inhibition of Plasmodium falciparum recombinant falcipain-2,B,,,BAO_0000190,BAO_0000357,single protein format,NC(=S)N/N=C/c1ccc(O)c(CN2CCCC2)c1O,,,CHEMBL1144511,Bioorg Med Chem,2007,"{'bei': '17.78', 'le': '0.36', 'lle': '4.37', 'sei': '5.56'}",CHEMBL224893,,CHEMBL224893,5.23,0,http://www.openphacts.org/units/Nanomolar,633238,=,1,1,=,,IC50,nM,,5850,CHEMBL5800,Plasmodium falciparum,Falcipain 2,5833,,,IC50,uM,UO_0000065,,5.85
